"year","mean_always0","mean_always1"
2000,0.219512195121951,0.215714285714286
2001,0.219512195121951,0.23
2002,0.219512195121951,0.245714285714286
2003,0.0731707317073171,0.254285714285714
2004,0.365853658536585,0.247142857142857
2005,0.170731707317073,0.292857142857143
2006,0.146341463414634,0.307142857142857
2007,0.170731707317073,0.308571428571429
2008,0.24390243902439,0.282857142857143
2009,0.317073170731707,0.317142857142857
2010,0.317073170731707,0.291428571428571
2011,0.268292682926829,0.312857142857143
2012,0.341463414634146,0.305714285714286
2013,0.317073170731707,0.341428571428571
2014,0.341463414634146,0.33
2015,0.292682926829268,0.344285714285714
2016,0.317073170731707,0.361428571428571
2017,0.268292682926829,0.387142857142857
2018,0.24390243902439,0.391428571428571
2019,0.317073170731707,0.395714285714286
2020,0.219512195121951,0.331428571428571
