"k","rows_per_unit","n_cohorts","n_treated","estimate","se","lo","hi"
2,5,9,25,-0.0561760203144876,0.0704502151863794,-0.194258442079791,0.081906401450816
3,7,7,17,-0.0106694876489039,0.0718627639209524,-0.151520504933971,0.130181529636163
4,9,6,14,-0.0615125201022484,0.0692438762505653,-0.197230517553356,0.0742054773488595
5,11,5,13,-0.0765486970294012,0.0656730532321176,-0.205267881364352,0.0521704873055493
6,13,5,13,-0.0892793801682764,0.0604264900796581,-0.207715300724406,0.0291565403878534
7,15,4,12,-0.0703440412634567,0.0583128231469476,-0.184637174631474,0.0439490921045605
8,17,3,9,-0.103872663626027,0.0628264068157568,-0.22701242098491,0.0192670937328565
9,19,1,7,-0.124000171368593,0.0672123105442573,-0.255736300035338,0.00773595729815102
10,21,0,0,NA,NA,NA,NA
