"estimator","atom_id","group","time","estimate","se","weight"
"CS","g2001_t2001",2001,2001,-1.46451590113832e-18,0.0723220594392977,0.00304878048780488
"CS","g2001_t2002",2001,2002,-2.43279556404376e-18,0.0723220594392977,0.00304878048780488
"CS","g2001_t2003",2001,2003,0.146341463414634,0.0617383434237906,0.00304878048780488
"CS","g2001_t2004",2001,2004,-0.146341463414634,0.092607515135686,0.00304878048780488
"CS","g2001_t2005",2001,2005,0.048780487804878,0.0705581067700465,0.00304878048780488
"CS","g2001_t2006",2001,2006,0.0731707317073171,0.0599743907545396,0.00304878048780488
"CS","g2001_t2007",2001,2007,0.048780487804878,0.0670302014315442,0.00304878048780488
"CS","g2001_t2008",2001,2008,-0.024390243902439,0.0732040357739233,0.00304878048780488
"CS","g2001_t2009",2001,2009,-0.0975609756097561,0.0793778701163023,0.00304878048780488
"CS","g2001_t2010",2001,2010,-0.0975609756097561,0.0617383434237907,0.00304878048780488
"CS","g2001_t2011",2001,2011,-0.048780487804878,0.0740860121085488,0.00304878048780488
"CS","g2001_t2012",2001,2012,-0.121951219512195,0.0952534441395629,0.00304878048780488
"CS","g2001_t2013",2001,2013,-0.0975609756097561,0.0758499647778,0.00304878048780488
"CS","g2001_t2014",2001,2014,-0.121951219512195,0.0811418227855535,0.00304878048780488
"CS","g2001_t2015",2001,2015,-0.0731707317073171,0.0776139174470511,0.00304878048780488
"CS","g2001_t2016",2001,2016,-0.0975609756097561,0.0723220594392977,0.00304878048780488
"CS","g2001_t2017",2001,2017,-0.048780487804878,0.0776139174470512,0.00304878048780488
"CS","g2001_t2018",2001,2018,-0.024390243902439,0.102309254816567,0.00304878048780488
"CS","g2001_t2019",2001,2019,-0.0975609756097561,0.086433680793307,0.00304878048780488
"CS","g2001_t2020",2001,2020,0,0.0723220594392977,0.00304878048780488
"CS","g2002_t2001",2002,2001,-0.4,0.237216354960896,0
"CS","g2002_t2002",2002,2002,0.2,0.237216354960896,0.0152439024390244
"CS","g2002_t2003",2002,2003,0.346341463414634,0.229490242269576,0.0152439024390244
"CS","g2002_t2004",2002,2004,-0.146341463414634,0.0767319411124256,0.0152439024390244
"CS","g2002_t2005",2002,2005,0.248780487804878,0.230160544283892,0.0152439024390244
"CS","g2002_t2006",2002,2006,0.0731707317073171,0.0846697281240558,0.0152439024390244
"CS","g2002_t2007",2002,2007,0.648780487804878,0.237216354960896,0.0152439024390244
"CS","g2002_t2008",2002,2008,0.375609756097561,0.233688449622394,0.0152439024390244
"CS","g2002_t2009",2002,2009,-0.0975609756097561,0.0758499647778,0.0152439024390244
"CS","g2002_t2010",2002,2010,-0.0975609756097561,0.065266248762293,0.0152439024390244
"CS","g2002_t2011",2002,2011,0.551219512195122,0.236546052946581,0.0152439024390244
"CS","g2002_t2012",2002,2012,-0.121951219512195,0.0811418227855535,0.0152439024390244
"CS","g2002_t2013",2002,2013,0.102439024390244,0.230160544283892,0.0152439024390244
"CS","g2002_t2014",2002,2014,0.0780487804878049,0.233018147608079,0.0152439024390244
