"spec","pooled","recon","diff","identity_holds"
"unweighted (R2)",-0.0989153732582026,-0.0989153732582021,5.41233724504764e-16,TRUE
"weighted (R2, ebal)",-0.108393496239638,-0.108393496239639,-4.16333634234434e-16,TRUE
"additive unit FE + time x stack",-0.104397217091685,-0.0989153732582021,0.00548184383348253,FALSE
"unweighted, vhat over all rows",-0.0989153732582026,-0.0905105597727111,0.00840481348549156,FALSE
