"estimator","atom_id","group","time","estimate","se","weight","design"
"stacked","stack2004",2004,NA,-0.0493429697766106,0.258385164082661,0.0717554287746057,"cengiz_notyet"
"stacked","stack2008",2008,NA,0.183266932270917,0.25838696534141,0.0717544283399024,"cengiz_notyet"
"stacked","stack2009",2009,NA,-0.115723809523809,0.0980507013630248,0.498297263756078,"cengiz_notyet"
"stacked","stack2012",2012,NA,-0.166288384512685,0.258387880395286,0.071753920119073,"cengiz_notyet"
"stacked","stack2013",2013,NA,0.0744414655942811,0.149380285196665,0.214685811468899,"cengiz_notyet"
"stacked","stack2014",2014,NA,-0.245625841184388,0.258389271443386,0.0717531475414414,"cengiz_notyet"
