"estimator","cohort","event_time","estimate","se","identified","is_pre"
"CS",2008,0,-0.0731707317073171,0.0599743907545396,TRUE,FALSE
"CS",2008,1,0.853658536585366,0.0776139174470512,TRUE,FALSE
"CS",2008,2,-0.146341463414634,0.0723220594392977,TRUE,FALSE
"CS",2008,3,-0.0975609756097561,0.0687941541007954,TRUE,FALSE
"CS",2008,4,-0.170731707317073,0.0846697281240557,TRUE,FALSE
"CS",2008,5,-0.146341463414634,0.0679121777661698,TRUE,FALSE
"CS",2008,6,-0.170731707317073,0.0793778701163023,TRUE,FALSE
"CS",2008,7,-0.121951219512195,0.0776139174470512,TRUE,FALSE
"CS",2008,8,-0.146341463414634,0.0873156571279325,TRUE,FALSE
"CS",2008,9,-0.0975609756097561,0.0793778701163023,TRUE,FALSE
"CS",2008,10,-0.0731707317073171,0.092607515135686,TRUE,FALSE
"CS",2008,11,-0.146341463414634,0.0776139174470512,TRUE,FALSE
"CS",2008,12,-0.048780487804878,0.0723220594392976,TRUE,FALSE
"CS",2009,-8,1.39296089709318e-18,0.211800316929372,TRUE,TRUE
"CS",2009,-7,0,0.351278574419446,TRUE,TRUE
"CS",2009,-6,0.00348432055749132,0.243281472220395,TRUE,TRUE
"CS",2009,-5,-0.292682926829268,0.0749679884431744,TRUE,TRUE
"CS",2009,-4,0.0522648083623694,0.181543128796604,TRUE,TRUE
"CS",2009,-3,0.167247386759582,0.270280747770158,TRUE,TRUE
"CS",2009,-2,0.118466898954704,0.271432716860281,TRUE,TRUE
"CS",2009,-1,-0.0731707317073171,0.0599743907545396,TRUE,TRUE
"CS",2009,0,-0.21602787456446,0.200604617334737,TRUE,FALSE
"CS",2009,1,-0.21602787456446,0.261730977179399,TRUE,FALSE
"CS",2009,2,-0.167247386759582,0.273196669529532,TRUE,FALSE
"CS",2009,3,-0.383275261324042,0.192198842880244,TRUE,FALSE
"CS",2009,4,-0.358885017421603,0.28554433821429,TRUE,FALSE
"CS",2009,5,-0.240418118466899,0.263296935161286,TRUE,FALSE
"CS",2009,6,-0.334494773519164,0.188058953962614,TRUE,FALSE
"CS",2009,7,-0.21602787456446,0.274762627511418,TRUE,FALSE
"CS",2009,8,0.261324041811847,0.299043975989172,TRUE,FALSE
"CS",2009,9,0,0.242795485260499,TRUE,FALSE
"CS",2009,10,-0.0731707317073171,0.248087343268253,TRUE,FALSE
"CS",2009,11,-0.118466898954704,0.179779176127353,TRUE,FALSE
"CS",2012,-11,-1.46451590113832e-18,0.0723220594392977,TRUE,TRUE
"CS",2012,-10,1,0.0723220594392977,TRUE,TRUE
"CS",2012,-9,-0.853658536585366,0.0564464854160372,TRUE,TRUE
"CS",2012,-8,-0.292682926829268,0.0749679884431744,TRUE,TRUE
"CS",2012,-7,1.19512195121951,0.0784958937816767,TRUE,TRUE
"CS",2012,-6,-0.975609756097561,0.0458627694005302,TRUE,TRUE
"CS",2012,-5,-0.024390243902439,0.0405709113927767,TRUE,TRUE
"CS",2012,-4,-0.0731707317073171,0.0599743907545396,TRUE,TRUE
"CS",2012,-3,-0.0731707317073171,0.0635022960930419,TRUE,TRUE
"CS",2012,-2,0,0.0723220594392977,TRUE,TRUE
"CS",2012,-1,0.048780487804878,0.0758499647778,TRUE,TRUE
"CS",2012,0,-0.0731707317073171,0.0740860121085488,TRUE,FALSE
"CS",2012,1,-0.048780487804878,0.0740860121085488,TRUE,FALSE
"CS",2012,2,-0.0731707317073171,0.0493906747390326,TRUE,FALSE
"CS",2012,3,-0.024390243902439,0.0696761304354209,TRUE,FALSE
"CS",2012,4,0.951219512195122,0.0723220594392976,TRUE,FALSE
"CS",2012,5,1,0.0723220594392977,TRUE,FALSE
"CS",2012,6,0.024390243902439,0.103191231151193,TRUE,FALSE
"CS",2012,7,-0.048780487804878,0.0723220594392977,TRUE,FALSE
"CS",2012,8,0.048780487804878,0.0723220594392977,TRUE,FALSE
"CS",2013,-12,0.333333333333333,0.329467159667912,TRUE,TRUE
"CS",2013,-11,-0.333333333333333,0.329467159667912,TRUE,TRUE
"CS",2013,-10,0.479674796747968,0.334759017675665,TRUE,TRUE
"CS",2013,-9,-0.292682926829268,0.0749679884431744,TRUE,TRUE
"CS",2013,-8,0.528455284552846,0.336522970344916,TRUE,TRUE
"CS",2013,-7,-0.308943089430894,0.30388984596377,TRUE,TRUE
"CS",2013,-6,-0.357723577235772,0.353280520702802,TRUE,TRUE
"CS",2013,-5,-0.0731707317073171,0.0599743907545395,TRUE,TRUE
"CS",2013,-4,-0.0731707317073171,0.0635022960930419,TRUE,TRUE
"CS",2013,-3,0,0.0723220594392977,TRUE,TRUE
"CS",2013,-2,0.382113821138211,0.325939254329409,TRUE,TRUE
"CS",2013,-1,-0.40650406504065,0.31976541998703,TRUE,TRUE
"CS",2013,0,0.357723577235772,0.328585183333286,TRUE,FALSE
"CS",2013,1,0,0.0723220594392977,TRUE,FALSE
"CS",2013,2,0.382113821138211,0.324175301660158,TRUE,FALSE
"CS",2013,3,0.024390243902439,0.103191231151193,TRUE,FALSE
"CS",2013,4,0.40650406504065,0.306535774967647,TRUE,FALSE
"CS",2013,5,0.0975609756097561,0.0829057754548047,TRUE,FALSE
"CS",2013,6,0.357723577235772,0.325939254329409,TRUE,FALSE
"CS",2013,7,0.788617886178862,0.324175301660158,TRUE,FALSE
"CS",2014,-13,-1.46451590113832e-18,0.0723220594392977,TRUE,TRUE
"CS",2014,-12,0,0.0723220594392977,TRUE,TRUE
"CS",2014,-11,0.146341463414634,0.0564464854160372,TRUE,TRUE
"CS",2014,-10,-0.292682926829268,0.0749679884431744,TRUE,TRUE
"CS",2014,-9,0.195121951219512,0.0784958937816767,TRUE,TRUE
"CS",2014,-8,0.024390243902439,0.0458627694005303,TRUE,TRUE
"CS",2014,-7,-0.024390243902439,0.0405709113927767,TRUE,TRUE
"CS",2014,-6,-0.0731707317073171,0.0599743907545396,TRUE,TRUE
"CS",2014,-5,-0.0731707317073171,0.0635022960930419,TRUE,TRUE
"CS",2014,-4,0,0.0723220594392977,TRUE,TRUE
"CS",2014,-3,0.048780487804878,0.0758499647778,TRUE,TRUE
"CS",2014,-2,-0.0731707317073171,0.0740860121085488,TRUE,TRUE
"CS",2014,-1,0.024390243902439,0.104073207485819,TRUE,TRUE
"CS",2014,0,-0.024390243902439,0.106719136489695,TRUE,FALSE
"CS",2014,1,0.024390243902439,0.104955183820444,TRUE,FALSE
"CS",2014,2,3.90832695737904e-18,0.0723220594392977,TRUE,FALSE
"CS",2014,3,0.048780487804878,0.0811418227855535,TRUE,FALSE
"CS",2014,4,-0.926829268292683,0.0978993731434395,TRUE,FALSE
"CS",2014,5,0,0.0723220594392977,TRUE,FALSE
"CS",2014,6,0.0975609756097561,0.0899615861318093,TRUE,FALSE
"CS",2017,-16,-0.333333333333333,0.329467159667912,TRUE,TRUE
"CS",2017,-15,0,0.0723220594392977,TRUE,TRUE
"CS",2017,-14,-0.186991869918699,0.340050875683419,TRUE,TRUE
"CS",2017,-13,0.0406504065040651,0.331231112337163,TRUE,TRUE
"CS",2017,-12,0.528455284552846,0.329467159667911,TRUE,TRUE
"CS",2017,-11,-0.308943089430894,0.330349136002537,TRUE,TRUE
"CS",2017,-10,-0.024390243902439,0.0405709113927767,TRUE,TRUE
"CS",2017,-9,-0.0731707317073171,0.0599743907545395,TRUE,TRUE
"CS",2017,-8,-0.0731707317073171,0.0635022960930419,TRUE,TRUE
"CS",2017,-7,0,0.0723220594392977,TRUE,TRUE
"CS",2017,-6,0.048780487804878,0.0758499647778,TRUE,TRUE
